cod. ibge;pib;cod_str;Estado;Regiao;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH;idhm;expectativa_vida;chave;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_P_Bool;DPU_R_Bool;DPU_Presencial;DPU_Remoto;Tem_DPU;Indice_Vulnerabilidade;Vulnerabilidade_Rank
3133808;50849520;3133808;MINAS GERAIS;SUDESTE;Itaúna;7671;17448;17,90%;0.275;0.428;0.106;0.039;0.607;0.352;0.121;0.758;76.02;ITAUNA_MINAS GERAIS;DIVINOPOLIS;NAO;False;False;False;False;NAO;Média-Baixa;2
3554003;50761930;3554003;SÃO PAULO;SUDESTE;Tatuí;14297;35520;28,70%;0.261;0.405;0.099;0.033;0.597;0.349;0.081;0.752;75.52;TATUI_SAO PAULO;SOROCABA;SIM;True;True;True;True;SIM;Baixa;1
3115359;50323580;3115359;MINAS GERAIS;SUDESTE;Catas Altas;1403;3225;58,90%;0.261;0.357;0.078;0.046;0.614;0.401;0.067;0.684;74.65;CATAS ALTAS_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
4103701;50300740;4103701;PARANÁ;SUL;Cambé;17217;41359;38,60%;0.267;0.414;0.082;0.052;0.608;0.347;0.102;0.734;75.42;CAMBE_PARANA;LONDRINA;SIM;True;True;True;True;SIM;Baixa;1
5006606;50246040;5006606;MATO GROSSO DO SUL;CENTRO-OESTE;Ponta Porã;28681;67014;72,80%;0.299;0.405;0.1;0.069;0.656;0.327;0.238;0.701;73.73;PONTA PORA_MATO GROSSO DO SUL;PONTA PORA;NAO;False;False;False;False;NAO;Alta;4
5102678;49930820;5102678;MATO GROSSO;CENTRO-OESTE;Campo Verde;7243;18935;42,50%;0.253;0.444;0.107;0.025;0.574;0.224;0.145;0.075;75.06;CAMPO VERDE_MATO GROSSO;MATO GROSSO;SIM;True;True;True;True;SIM;Baixa;1
4101507;49542060;4101507;PARANÁ;SUL;Arapongas;17017;37900;31,80%;0.265;0.442;0.102;0.059;0.592;0.298;0.1;0.748;75.02;ARAPONGAS_PARANA;LONDRINA;SIM;True;True;True;True;SIM;Baixa;1
3526803;49242280;3526803;SÃO PAULO;SUDESTE;Lençóis Paulista;4323;11134;16,70%;0.273;0.445;0.062;0.06;0.599;0.295;0.176;0.764;75.19;LENCOIS PAULISTA_SAO PAULO;BAURU;NAO;False;False;False;False;NAO;Média-Baixa;2
4127106;49135830;4127106;PARANÁ;SUL;Telêmaco Borba;6028;15522;20,70%;0.259;0.422;0.104;0.036;0.639;0.271;0.08;0.734;74.68;TELEMACO BORBA_PARANA;TELEMACO BORBA;NAO;False;False;False;False;NAO;Baixa;1
3522208;49092990;3522208;SÃO PAULO;SUDESTE;Itapecerica da Serra;38338;83298;52,50%;0.272;0.368;0.073;0.046;0.586;0.434;0.126;0.742;76.09;ITAPECERICA DA SERRA_SAO PAULO;OSASCO;SIM;True;True;True;True;SIM;Média-Baixa;2
3525003;49083600;3525003;SÃO PAULO;SUDESTE;Jandira;15599;36307;30,80%;0.277;0.399;0.075;0.053;0.592;0.455;0.088;0.076;75.46;JANDIRA_SAO PAULO;BARUERI;NAO;False;False;False;False;NAO;Média-Baixa;2
3509007;48588580;3509007;SÃO PAULO;SUDESTE;Caieiras;12469;28561;30,10%;0.264;0.403;0.063;0.037;0.563;0.432;0.085;0.781;76.68;CAIEIRAS_SAO PAULO;SAO PAULO;SIM;True;True;True;True;SIM;Baixa;1
3136207;48512410;3136207;MINAS GERAIS;SUDESTE;João Monlevade;7172;16852;21,00%;0.261;0.412;0.084;0.029;0.605;0.368;0.068;0.758;75.93;JOAO MONLEVADE_MINAS GERAIS;IPATINGA;NAO;False;False;False;False;NAO;Baixa;1
4218707;48167330;4218707;SANTA CATARINA;SUL;Tubarão;8459;20149;18,30%;0.26;0.45;0.055;0.036;0.589;0.343;0.085;0.796;76.96;TUBARAO_SANTA CATARINA;TUBARAO;NAO;False;False;False;False;NAO;Baixa;1
3502754;48145040;3502754;SÃO PAULO;SUDESTE;Araçariguama;4438;10353;48,10%;0.346;0.402;0.09;0.076;0.633;0.404;0.47;0.704;73.86;ARACARIGUAMA_SAO PAULO;BARUERI;NAO;False;False;False;False;NAO;Alta;4
3305554;47770370;3305554;RIO DE JANEIRO;SUDESTE;Seropédica;29004;52713;65,40%;0.35;0.26;0.065;0.043;0.65;0.533;0.549;0.713;73.3;SEROPEDICA_RIO DE JANEIRO;RIO DE JANEIRO;SIM;True;True;True;True;SIM;Alta;4
3302502;47658440;3302502;RIO DE JANEIRO;SUDESTE;Magé;67430;138685;60,80%;0.287;0.336;0.074;0.043;0.639;0.494;0.138;0.709;74.91;MAGE_RIO DE JANEIRO;MAGE;NAO;False;False;False;False;NAO;Média-Alta;3
5220454;47650890;5220454;GOIÁS;CENTRO-OESTE;Senador Canedo;29718;75556;48,50%;0.268;0.453;0.125;0.05;0.567;0.26;0.151;0.701;74.59;SENADOR CANEDO_GOIAS;GOIANIA;SIM;True;True;True;True;SIM;Média-Baixa;2
3522604;47563310;3522604;SÃO PAULO;SUDESTE;Itapira;6265;14615;20,30%;0.275;0.432;0.096;0.08;0.602;0.329;0.109;0.762;76.1;ITAPIRA_SAO PAULO;SAO JOAO DA BOA VISTA;NAO;False;False;False;False;NAO;Média-Baixa;2
3515707;47406730;3515707;SÃO PAULO;SUDESTE;Ferraz de Vasconcelos;31617;71326;39,80%;0.27;0.382;0.065;0.067;0.596;0.425;0.082;0.738;74.65;FERRAZ DE VASCONCELOS_SAO PAULO;GUARULHOS;SIM;True;True;True;True;SIM;Média-Baixa;2
1502400;47093120;1502400;PARÁ;NORTE;Castanhal;44388;109875;57,20%;0.271;0.373;0.09;0.055;0.603;0.34;0.165;0.673;72.97;CASTANHAL_PARA;CASTANHAL;SIM;True;True;True;True;SIM;Média-Baixa;2
4203006;47029080;4203006;SANTA CATARINA;SUL;Caçador;11373;29373;39,80%;0.288;0.476;0.115;0.055;0.629;0.297;0.154;0.735;77.65;CACADOR_SANTA CATARINA;CACADOR;NAO;False;False;False;False;NAO;Média-Alta;3
4215802;46970150;4215802;SANTA CATARINA;SUL;São Bento do Sul;7598;19240;23,10%;0.259;0.431;0.087;0.06;0.575;0.289;0.111;0.782;77.25;SAO BENTO DO SUL_SANTA CATARINA;SAO MIGUEL DO OESTE;NAO;False;False;False;False;NAO;Baixa;1
3109006;46249380;3109006;MINAS GERAIS;SUDESTE;Brumadinho;5845;15035;38,60%;0.267;0.4;0.086;0.045;0.613;0.292;0.166;0.747;76.39;BRUMADINHO_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
4306106;46093840;4306106;RIO GRANDE DO SUL;SUL;Cruz Alta;8325;18452;31,30%;0.28;0.435;0.093;0.065;0.625;0.359;0.101;0.075;76.49;CRUZ ALTA_RIO GRANDE DO SUL;CAXIAS DO SUL;NAO;False;False;False;False;NAO;Média-Baixa;2
2911105;46083770;2911105;BAHIA;NORDESTE;Formosa do Rio Preto;6989;18828;72,70%;0.316;0.361;0.105;0.053;0.694;0.413;0.27;0.618;70.8;FORMOSA DO RIO PRETO_BAHIA;BARREIRAS;NAO;False;False;False;False;NAO;Alta;4
5206206;46023180;5206206;GOIÁS;CENTRO-OESTE;Cristalina;13958;33036;53,00%;0.3;0.411;0.1;0.067;0.613;0.424;0.186;0.699;73.84;CRISTALINA_GOIAS;LUZIANIA;NAO;False;False;False;False;NAO;Alta;4
4204301;45592760;4204301;SANTA CATARINA;SUL;Concórdia;4188;10946;13,40%;0.267;0.49;0.121;0.046;0.574;0.225;0.145;0.008;77.33;CONCORDIA_SANTA CATARINA;CONCORDIA;NAO;False;False;False;False;NAO;Baixa;1
2616407;45518430;2616407;PERNAMBUCO;NORDESTE;Vitória de Santo Antão;41367;88692;66,10%;0.278;0.314;0.073;0.04;0.672;0.419;0.149;0.064;71.07;VITORIA DE SANTO ANTAO_PERNAMBUCO;RECIFE;SIM;True;True;True;True;SIM;Média-Baixa;2
4118501;45482970;4118501;PARANÁ;SUL;Pato Branco;10341;25136;27,40%;0.249;0.451;0.107;0.049;0.577;0.223;0.089;0.782;75.72;PATO BRANCO_PARANA;PATO BRANCO;NAO;False;False;False;False;NAO;Baixa;1
2900702;45327430;2900702;BAHIA;NORDESTE;Alagoinhas;44596;91391;60,50%;0.262;0.308;0.061;0.04;0.637;0.423;0.101;0.683;72.39;ALAGOINHAS_BAHIA;ALAGOINHAS;NAO;False;False;False;False;NAO;Baixa;1
3510500;45322360;3510500;SÃO PAULO;SUDESTE;Caraguatatuba;24897;56729;42,10%;0.269;0.407;0.054;0.044;0.583;0.406;0.12;0.759;75.68;CARAGUATATUBA_SAO PAULO;CARAGUATATUBA;NAO;False;False;False;False;NAO;Média-Baixa;2
4307906;43984470;4307906;RIO GRANDE DO SUL;SUL;Farroupilha;5979;13886;19,80%;0.285;0.437;0.092;0.038;0.603;0.384;0.159;0.777;76.68;FARROUPILHA_RIO GRANDE DO SUL;ERECHIM;NAO;False;False;False;False;NAO;Média-Alta;3
3201506;43783060;3201506;ESPÍRITO SANTO;SUDESTE;Colatina;20205;46231;38,50%;0.252;0.402;0.084;0.054;0.613;0.255;0.105;0.746;75.45;COLATINA_ESPIRITO SANTO;COLATINA;SIM;True;True;True;True;SIM;Baixa;1
3304144;43617180;3304144;RIO DE JANEIRO;SUDESTE;Queimados;36587;78180;55,60%;0.285;0.342;0.086;0.042;0.647;0.474;0.118;0.068;73.58;QUEIMADOS_RIO DE JANEIRO;NOVA IGUACU;SIM;True;True;True;True;SIM;Média-Alta;3
4323002;43350500;4323002;RIO GRANDE DO SUL;SUL;Viamão;43319;97344;43,40%;0.284;0.405;0.097;0.051;0.633;0.423;0.097;0.717;76.95;VIAMAO_RIO GRANDE DO SUL;SANTO ANGELO;SIM;True;True;True;True;SIM;Média-Alta;3
3170404;43195630;3170404;MINAS GERAIS;SUDESTE;Unaí;14435;33921;39,20%;0.257;0.42;0.103;0.052;0.588;0.258;0.12;0.736;75.83;UNAI_MINAS GERAIS;UNAI;NAO;False;False;False;False;NAO;Baixa;1
3531803;43177640;3531803;SÃO PAULO;SUDESTE;Monte Mor;12948;30200;46,70%;0.259;0.399;0.074;0.056;0.586;0.359;0.082;0.733;76.78;MONTE MOR_SAO PAULO;CAMPINAS;SIM;True;True;True;True;SIM;Baixa;1
3516408;42978710;3516408;SÃO PAULO;SUDESTE;Franco da Rocha;27558;61865;42,70%;0.281;0.39;0.073;0.064;0.599;0.461;0.101;0.731;76.09;FRANCO DA ROCHA_SAO PAULO;SAO PAULO;SIM;True;True;True;True;SIM;Média-Alta;3
1505502;42805080;1505502;PARÁ;NORTE;Paragominas;24601;64113;60,70%;0.284;0.395;0.111;0.078;0.642;0.322;0.157;0.645;71.87;PARAGOMINAS_PARA;PARAGOMINAS;SIM;True;True;True;True;SIM;Média-Alta;3
5107065;42594400;5107065;MATO GROSSO;CENTRO-OESTE;Querência;4513;11491;42,90%;0.314;0.436;0.151;0.049;0.627;0.407;0.212;0.692;75.19;QUERENCIA_MATO GROSSO;GARCAS;NAO;False;False;False;False;NAO;Alta;4
3304110;42457420;3304110;RIO DE JANEIRO;SUDESTE;Porto Real;3777;8859;43,50%;0.263;0.381;0.082;0.046;0.617;0.392;0.058;0.713;74.01;PORTO REAL_RIO DE JANEIRO;RESENDE;SIM;True;True;True;True;SIM;Baixa;1
3300209;42342650;3300209;RIO DE JANEIRO;SUDESTE;Araruama;34261;73205;56,50%;0.291;0.351;0.069;0.049;0.646;0.476;0.158;0.718;75.32;ARARUAMA_RIO DE JANEIRO;SAO PEDRO DA ALDEIA;NAO;False;False;False;False;NAO;Média-Alta;3
1100122;42311130;1100122;RONDÔNIA;NORTE;Ji-Paraná;24261;55675;44,80%;0.282;0.423;0.124;0.042;0.612;0.317;0.174;0.714;73.6;JI-PARANA_RONDONIA;JI-PARANA;SIM;True;True;True;True;SIM;Média-Alta;3
1508357;42307780;1508357;PARÁ;NORTE;Vitória do Xingu;4887;12919;82,80%;0.314;0.404;0.111;0.055;0.68;0.414;0.221;0.596;72.49;VITORIA DO XINGU_PARA;ALTAMIRA;SIM;True;True;True;True;SIM;Alta;4
3205101;42275680;3205101;ESPÍRITO SANTO;SUDESTE;Viana;16368;38755;52,80%;0.267;0.414;0.082;0.058;0.608;0.363;0.074;0.686;73.94;VIANA_ESPIRITO SANTO;VITORIA;SIM;True;True;True;True;SIM;Baixa;1
1100304;42150460;1100304;RONDÔNIA;NORTE;Vilhena;18444;42244;44,10%;0.277;0.433;0.128;0.063;0.595;0.238;0.206;0.731;73.49;VILHENA_RONDONIA;VILHENA;SIM;False;True;False;True;SIM;Média-Baixa;2
4320008;42040600;4320008;RIO GRANDE DO SUL;SUL;Sapucaia do Sul;21902;45903;34,70%;0.284;0.404;0.084;0.044;0.625;0.42;0.126;0.726;75.65;SAPUCAIA DO SUL_RIO GRANDE DO SUL;SANTA MARIA;SIM;True;True;True;True;SIM;Média-Alta;3
3156700;42017300;3156700;MINAS GERAIS;SUDESTE;Sabará;20672;48811;37,70%;0.253;0.398;0.084;0.026;0.57;0.334;0.104;0.731;74.99;SABARA_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
2914802;42008140;2914802;BAHIA;NORDESTE;Itabuna;50318;104818;56,10%;0.26;0.344;0.068;0.049;0.614;0.388;0.098;0.712;73.42;ITABUNA_BAHIA;ITABUNA;SIM;False;True;False;True;SIM;Baixa;1
4205902;41567910;4205902;SANTA CATARINA;SUL;Gaspar;5446;13788;19,00%;0.282;0.496;0.101;0.048;0.587;0.299;0.16;0.765;78.34;GASPAR_SANTA CATARINA;BLUMENAU;NAO;False;False;False;False;NAO;Média-Alta;3
3549102;41351900;3549102;SÃO PAULO;SUDESTE;São João da Boa Vista;7658;18274;19,70%;0.259;0.437;0.068;0.047;0.59;0.317;0.094;0.797;77.23;SAO JOAO DA BOA VISTA_SAO PAULO;SAO JOAO DA BOA VISTA;NAO;False;False;False;False;NAO;Baixa;1
3118007;41156440;3118007;MINAS GERAIS;SUDESTE;Congonhas;7435;19007;35,90%;0.264;0.407;0.111;0.051;0.607;0.319;0.09;0.753;77.59;CONGONHAS_MINAS GERAIS;BELO HORIZONTE;SIM;True;True;True;True;SIM;Baixa;1
3512407;41078260;3512407;SÃO PAULO;SUDESTE;Cordeirópolis;2822;6942;28,30%;0.24;0.431;0.07;0.046;0.58;0.185;0.129;0.758;76.45;CORDEIROPOLIS_SAO PAULO;LIMEIRA;NAO;False;False;False;False;NAO;Baixa;1
4128104;41038040;4128104;PARANÁ;SUL;Umuarama;18204;42120;36,00%;0.269;0.416;0.086;0.05;0.6;0.334;0.13;0.761;75.16;UMUARAMA_PARANA;UMUARAMA;SIM;True;True;True;True;SIM;Média-Baixa;2
3526704;41018670;3526704;SÃO PAULO;SUDESTE;Leme;13988;32818;33,40%;0.279;0.421;0.064;0.067;0.627;0.409;0.084;0.744;76.05;LEME_SAO PAULO;LIMEIRA;NAO;False;False;False;False;NAO;Média-Baixa;2
3504008;40825160;3504008;SÃO PAULO;SUDESTE;Assis;12359;28371;28,00%;0.256;0.385;0.055;0.056;0.589;0.334;0.115;0.805;76.91;ASSIS_SAO PAULO;ASSIS;NAO;False;False;False;False;NAO;Baixa;1
3506102;40804850;3506102;SÃO PAULO;SUDESTE;Bebedouro;9141;22363;29,30%;0.276;0.426;0.064;0.041;0.617;0.412;0.094;0.078;76.16;BEBEDOURO_SAO PAULO;BARRETOS;NAO;False;False;False;False;NAO;Média-Baixa;2
5005400;40486730;5005400;MATO GROSSO DO SUL;CENTRO-OESTE;Maracaju;7568;18614;41,30%;0.286;0.457;0.129;0.065;0.626;0.26;0.18;0.736;77.35;MARACAJU_MATO GROSSO DO SUL;DOURADOS;SIM;True;True;True;True;SIM;Média-Alta;3
3147105;40252970;3147105;MINAS GERAIS;SUDESTE;Pará de Minas;10850;26650;27,40%;0.271;0.44;0.091;0.053;0.619;0.327;0.095;0.725;75.87;PARA DE MINAS_MINAS GERAIS;DIVINOPOLIS;NAO;False;False;False;False;NAO;Média-Baixa;2
3533403;40204940;3533403;SÃO PAULO;SUDESTE;Nova Odessa;4985;12059;19,40%;0.269;0.437;0.077;0.051;0.574;0.382;0.096;0.791;76.68;NOVA ODESSA_SAO PAULO;AMERICANAS;NAO;False;False;False;False;NAO;Média-Baixa;2
3501152;39823130;3501152;SÃO PAULO;SUDESTE;Alumínio;1320;3451;19,90%;0.268;0.423;0.073;0.051;0.596;0.342;0.124;0.766;75.47;ALUMINIO_SAO PAULO;SOROCABA;SIM;True;True;True;True;SIM;Média-Baixa;2
3556503;39658390;3556503;SÃO PAULO;SUDESTE;Várzea Paulista;11573;27464;23,70%;0.275;0.431;0.112;0.041;0.58;0.376;0.109;0.759;76.8;VARZEA PAULISTA_SAO PAULO;JUNDIAI;NAO;False;False;False;False;NAO;Média-Baixa;2
2924009;39653260;2924009;BAHIA;NORDESTE;Paulo Afonso;29988;69251;61,40%;0.276;0.333;0.089;0.054;0.653;0.415;0.111;0.674;72.34;PAULO AFONSO_BAHIA;PAULO AFONSO;NAO;False;False;False;False;NAO;Média-Baixa;2
3534708;39615710;3534708;SÃO PAULO;SUDESTE;Ourinhos;12449;28927;27,80%;0.271;0.419;0.081;0.054;0.604;0.37;0.098;0.778;76.53;OURINHOS_SAO PAULO;OURINHOS;NAO;False;False;False;False;NAO;Média-Baixa;2
3506508;39473880;3506508;SÃO PAULO;SUDESTE;Birigui;11043;26457;22,20%;0.257;0.431;0.057;0.044;0.583;0.327;0.099;0.078;77.14;BIRIGUI_SAO PAULO;ARACATUBA;NAO;False;False;False;False;NAO;Baixa;1
3557006;39192360;3557006;SÃO PAULO;SUDESTE;Votorantim;12869;31959;25,00%;0.277;0.431;0.082;0.037;0.588;0.368;0.158;0.767;75.3;VOTORANTIM_SAO PAULO;SOROCABA;SIM;True;True;True;True;SIM;Média-Baixa;2
5003207;39078660;5003207;MATO GROSSO DO SUL;CENTRO-OESTE;Corumbá;26557;65034;67,60%;0.284;0.403;0.122;0.055;0.611;0.392;0.125;0.007;75.06;CORUMBA_MATO GROSSO DO SUL;CORUMBA;SIM;True;True;True;True;SIM;Média-Alta;3
3546702;38958180;3546702;SÃO PAULO;SUDESTE;Santa Gertrudes;1494;3857;16,30%;0.256;0.464;0.087;0.024;0.581;0.264;0.114;0.737;75.84;SANTA GERTRUDES_SAO PAULO;PIRACICABA;NAO;False;False;False;False;NAO;Baixa;1
3543303;38910030;3543303;SÃO PAULO;SUDESTE;Ribeirão Pires;11766;26618;23,00%;0.257;0.4;0.059;0.045;0.567;0.375;0.099;0.784;75.81;RIBEIRAO PIRES_SAO PAULO;MAUA;NAO;False;False;False;False;NAO;Baixa;1
3527207;38766630;3527207;SÃO PAULO;SUDESTE;Lorena;13144;29312;34,50%;0.264;0.375;0.075;0.043;0.578;0.434;0.078;0.766;76.35;LORENA_SAO PAULO;GUARATINGUETA;NAO;False;False;False;False;NAO;Baixa;1
4101408;38743140;4101408;PARANÁ;SUL;Apucarana;21416;48372;37,20%;0.258;0.411;0.073;0.048;0.614;0.304;0.1;0.748;75.71;APUCARANA_PARANA;APUCARANA;NAO;False;False;False;False;NAO;Baixa;1
3557105;38625400;3557105;SÃO PAULO;SUDESTE;Votuporanga;12311;27938;28,90%;0.27;0.411;0.061;0.044;0.599;0.395;0.107;0.079;76.44;VOTUPORANGA_SAO PAULO;JALES;SIM;True;True;True;True;SIM;Média-Baixa;2
2301000;38543100;2301000;CEARÁ;NORDESTE;Aquiraz;25390;57109;70,80%;0.285;0.355;0.065;0.044;0.657;0.412;0.18;0.641;72.27;AQUIRAZ_CEARA;FORTALEZA;SIM;True;True;True;True;SIM;Média-Alta;3
4304705;38468470;4304705;RIO GRANDE DO SUL;SUL;Carazinho;7082;16817;27,20%;0.281;0.445;0.098;0.061;0.612;0.29;0.181;0.766;75.42;CARAZINHO_RIO GRANDE DO SUL;CARAZINHO;NAO;False;False;False;False;NAO;Média-Alta;3
2100055;38287800;2100055;MARANHÃO;NORDESTE;Açailândia;25058;61840;58,00%;0.267;0.384;0.09;0.066;0.636;0.351;0.073;0.672;72.07;ACAILANDIA_MARANHAO;IMPERATRIZ;SIM;True;True;True;True;SIM;Baixa;1
3134202;37979320;3134202;MINAS GERAIS;SUDESTE;Ituiutaba;20966;42822;41,90%;0.249;0.403;0.077;0.04;0.597;0.286;0.089;0.739;75.37;ITUIUTABA_MINAS GERAIS;ITUIUTABA;NAO;False;False;False;False;NAO;Baixa;1
3522406;37889920;3522406;SÃO PAULO;SUDESTE;Itapeva;14770;36494;40,70%;0.264;0.382;0.077;0.055;0.622;0.365;0.084;0.732;73.18;ITAPEVA_SAO PAULO;ITAPEVA;NAO;False;False;False;False;NAO;Baixa;1
3539806;37693470;3539806;SÃO PAULO;SUDESTE;Poá;23139;50515;48,70%;0.271;0.36;0.064;0.048;0.592;0.459;0.1;0.771;76.33;POA_SAO PAULO;GUARULHOS;SIM;True;True;True;True;SIM;Média-Baixa;2
2925303;37678870;2925303;BAHIA;NORDESTE;Porto Seguro;46449;105653;62,80%;0.289;0.385;0.106;0.072;0.625;0.368;0.177;0.676;73.05;PORTO SEGURO_BAHIA;EUNAPOLIS;NAO;False;False;False;False;NAO;Média-Alta;3
3540606;37546660;3540606;SÃO PAULO;SUDESTE;Porto Feliz;5957;14322;25,40%;0.278;0.423;0.069;0.038;0.626;0.393;0.115;0.758;75.14;PORTO FELIZ_SAO PAULO;SOROCABA;SIM;True;True;True;True;SIM;Média-Baixa;2
4307708;37498780;4307708;RIO GRANDE DO SUL;SUL;Esteio;13376;29227;38,40%;0.266;0.4;0.062;0.044;0.607;0.4;0.086;0.754;75.57;ESTEIO_RIO GRANDE DO SUL;ERECHIM;SIM;True;True;True;True;SIM;Baixa;1
4301602;37484090;4301602;RIO GRANDE DO SUL;SUL;Bagé;27127;55033;46,70%;0.279;0.338;0.086;0.045;0.655;0.469;0.082;0.074;75.86;BAGE_RIO GRANDE DO SUL;BENTO GONCALVES;SIM;True;True;True;True;SIM;Média-Baixa;2
4317202;37320370;4317202;RIO GRANDE DO SUL;SUL;Santa Rosa;9392;20945;27,20%;0.265;0.442;0.094;0.05;0.598;0.229;0.177;0.769;77.25;SANTA ROSA_RIO GRANDE DO SUL;PORTO ALEGRE;NAO;False;False;False;False;NAO;Baixa;1
4322608;37320300;4322608;RIO GRANDE DO SUL;SUL;Venâncio Aires;8353;18940;27,50%;0.279;0.414;0.102;0.063;0.631;0.342;0.119;0.712;74.09;VENANCIO AIRES_RIO GRANDE DO SUL;SANTO ANGELO;NAO;False;False;False;False;NAO;Média-Baixa;2
5007208;37310460;5007208;MATO GROSSO DO SUL;CENTRO-OESTE;Rio Brilhante;6772;16081;42,80%;0.277;0.422;0.1;0.091;0.639;0.272;0.141;0.715;76.67;RIO BRILHANTE_MATO GROSSO DO SUL;DOURADOS;SIM;True;True;True;True;SIM;Média-Baixa;2
4322400;37170910;4322400;RIO GRANDE DO SUL;SUL;Uruguaiana;21057;45729;39,00%;0.288;0.384;0.092;0.058;0.636;0.406;0.155;0.744;76.8;URUGUAIANA_RIO GRANDE DO SUL;SANTO ANGELO;SIM;True;True;True;True;SIM;Média-Alta;3
4108403;36947210;4108403;PARANÁ;SUL;Francisco Beltrão;11107;26846;27,80%;0.258;0.44;0.093;0.063;0.603;0.218;0.129;0.774;75.65;FRANCISCO BELTRAO_PARANA;FRANCISCO BELTRAO;NAO;False;False;False;False;NAO;Baixa;1
4214805;36898220;4214805;SANTA CATARINA;SUL;Rio do Sul;4697;12131;16,70%;0.278;0.471;0.084;0.058;0.606;0.318;0.132;0.802;78.61;RIO DO SUL_SANTA CATARINA;RIO DO SUL;NAO;False;False;False;False;NAO;Média-Baixa;2
3148103;36784040;3148103;MINAS GERAIS;SUDESTE;Patrocínio;15160;36097;40,20%;0.255;0.415;0.093;0.051;0.591;0.287;0.094;0.729;76.14;PATROCINIO_MINAS GERAIS;PATOS DE MINAS;NAO;False;False;False;False;NAO;Baixa;1
4207502;36754750;4207502;SANTA CATARINA;SUL;Indaial;3202;8738;12,20%;0.262;0.488;0.086;0.035;0.577;0.253;0.133;0.777;77.39;INDAIAL_SANTA CATARINA;BLUMENAU;NAO;False;False;False;False;NAO;Baixa;1
1502772;36673410;1502772;PARÁ;NORTE;Curionópolis;6704;15505;77,70%;0.302;0.405;0.1;0.052;0.644;0.387;0.224;0.636;73.53;CURIONOPOLIS_PARA;MARABA;SIM;True;True;True;True;SIM;Alta;4
1718204;36494210;1718204;TOCANTINS;NORTE;Porto Nacional;13561;35116;54,50%;0.304;0.422;0.109;0.075;0.565;0.285;0.365;0.074;74.56;PORTO NACIONAL_TOCANTINS;PALMAS;SIM;True;True;True;True;SIM;Alta;4
4104907;36313420;4104907;PARANÁ;SUL;Castro;13671;33665;46,10%;0.279;0.407;0.096;0.052;0.643;0.348;0.127;0.703;74.36;CASTRO_PARANA;PONTA GROSSA;NAO;False;False;False;False;NAO;Média-Baixa;2
4319901;36155840;4319901;RIO GRANDE DO SUL;SUL;Sapiranga;10616;22957;30,30%;0.4;0.396;0.055;0.065;0.681;0.449;0.754;0.711;74.93;SAPIRANGA_RIO GRANDE DO SUL;SANTA MARIA;NAO;False;False;False;False;NAO;Alta;4
3524303;36011830;3524303;SÃO PAULO;SUDESTE;Jaboticabal;10584;23105;32,20%;0.27;0.357;0.057;0.028;0.611;0.43;0.135;0.778;76.08;JABOTICABAL_SAO PAULO;RIBEIRAO PRETO;SIM;True;True;True;True;SIM;Média-Baixa;2
4303905;36000680;4303905;RIO GRANDE DO SUL;SUL;Campo Bom;5574;12918;20,50%;0.247;0.436;0.064;0.059;0.596;0.186;0.139;0.745;76.11;CAMPO BOM_RIO GRANDE DO SUL;CARAZINHO;NAO;False;False;False;False;NAO;Baixa;1
2304285;35777470;2304285;CEARÁ;NORDESTE;Eusébio;12284;29101;39,20%;0.268;0.371;0.064;0.046;0.632;0.384;0.109;0.701;72.66;EUSEBIO_CEARA;FORTALEZA;SIM;True;True;True;True;SIM;Média-Baixa;2
4122404;35750900;4122404;PARANÁ;SUL;Rolândia;10138;24576;34,30%;0.272;0.431;0.1;0.061;0.592;0.292;0.154;0.739;74.27;ROLANDIA_PARANA;LONDRINA;SIM;True;True;True;True;SIM;Média-Baixa;2
3169901;35739400;3169901;MINAS GERAIS;SUDESTE;Ubá;17027;39512;38,20%;0.263;0.392;0.081;0.049;0.62;0.332;0.106;0.724;75.45;UBA_MINAS GERAIS;VICOSA;NAO;False;False;False;False;NAO;Baixa;1
4303004;35426930;4303004;RIO GRANDE DO SUL;SUL;Cachoeira do Sul;13278;28784;35,90%;0.283;0.39;0.08;0.057;0.644;0.405;0.12;0.742;76.22;CACHOEIRA DO SUL_RIO GRANDE DO SUL;CAPAO DA CANOA;NAO;False;False;False;False;NAO;Média-Alta;3
4304804;35295780;4304804;RIO GRANDE DO SUL;SUL;Carlos Barbosa;899;2282;7,50%;0.266;0.475;0.1;0.04;0.592;0.269;0.118;0.796;75.07;CARLOS BARBOSA_RIO GRANDE DO SUL;BENTO GONCALVES;NAO;False;False;False;False;NAO;Baixa;1
3105608;35231350;3105608;MINAS GERAIS;SUDESTE;Barbacena;22708;52543;41,90%;0.251;0.335;0.073;0.039;0.603;0.379;0.079;0.769;77.88;BARBACENA_MINAS GERAIS;SAO JOAO DEL-REI;NAO;False;False;False;False;NAO;Baixa;1
